Martin packaging metrics,Mon, 27 Nov 2023 22:13:50 WET
Package,A,Ca,Ce,D,I
net.sf.freecol,0.00,236,330,0.42,0.58
net.sf.freecol.client,0.00,"1,182",382,0.76,0.24
net.sf.freecol.client.control,0.09,401,"3,175",0.02,0.89
net.sf.freecol.client.gui,0.03,"1,489","2,658",0.33,0.64
net.sf.freecol.client.gui.action,0.05,309,674,0.27,0.72
net.sf.freecol.client.gui.animation,0.40,19,106,0.25,0.85
net.sf.freecol.client.gui.dialog,0.03,182,"1,793",0.06,0.92
net.sf.freecol.client.gui.images,0.00,10,279,0.03,0.97
net.sf.freecol.client.gui.label,0.30,272,311,0.17,0.55
net.sf.freecol.client.gui.mapviewer,0.05,157,"1,115",0.07,0.87
net.sf.freecol.client.gui.menu,0.17,9,473,0.15,0.98
net.sf.freecol.client.gui.option,0.08,42,397,0.02,0.90
net.sf.freecol.client.gui.panel,0.06,"1,566","3,626",0.24,0.64
net.sf.freecol.client.gui.panel.colopedia,0.13,6,795,0.13,0.99
net.sf.freecol.client.gui.panel.report,0.06,65,"2,258",0.03,0.97
net.sf.freecol.client.gui.plaf,0.00,38,128,0.23,0.74
net.sf.freecol.client.gui.tooltip,0.00,2,170,0.01,0.99
net.sf.freecol.client.gui.video,0.50,6,4,0.10,0.40
net.sf.freecol.client.networking,0.00,1,24,0.04,0.96
net.sf.freecol.common,0.25,166,10,0.69,0.06
net.sf.freecol.common.debug,0.00,353,"1,105",0.24,0.80
net.sf.freecol.common.i18n,0.10,"1,271",352,0.68,0.22
net.sf.freecol.common.io,0.00,"2,740",242,0.92,0.08
net.sf.freecol.common.io.sza,0.50,21,6,0.28,0.16
net.sf.freecol.common.logging,0.00,1,11,0.08,0.92
net.sf.freecol.common.metaserver,0.00,88,59,0.60,0.31
net.sf.freecol.common.model,0.12,"27,754","5,113",0.72,0.17
net.sf.freecol.common.model.mission,0.29,0,95,0.29,1.00
net.sf.freecol.common.model.pathfinding,0.18,197,296,0.22,0.53
net.sf.freecol.common.model.production,0.00,20,312,0.06,0.94
net.sf.freecol.common.networking,0.05,"2,046","3,544",0.31,0.72
net.sf.freecol.common.option,0.15,"1,880",432,0.67,0.19
net.sf.freecol.common.resources,0.14,311,46,0.73,0.13
net.sf.freecol.common.sound,0.00,14,16,0.47,0.42
net.sf.freecol.common.util,0.00,"3,310",7,1.00,0.00
net.sf.freecol.common.utils,0.00,2,1,0.67,0.33
net.sf.freecol.metaserver,0.00,0,94,0.00,1.00
net.sf.freecol.server,0.00,"1,071",447,0.71,0.30
net.sf.freecol.server.ai,0.17,"1,173","4,978",0.02,0.81
net.sf.freecol.server.ai.military,0.00,15,380,0.04,0.96
net.sf.freecol.server.ai.mission,0.04,413,"3,115",0.08,0.88
net.sf.freecol.server.control,0.12,122,"3,720",0.09,0.97
net.sf.freecol.server.generator,0.23,10,"1,592",0.22,0.99
net.sf.freecol.server.model,0.12,715,"7,054",0.03,0.91
net.sf.freecol.server.networking,0.00,28,47,0.37,0.63
net.sf.freecol.tools,0.00,0,159,0.00,1.00
net.sf.freecol.util.test,0.00,"2,218",0,1.00,0.00

